,China,US,Italy,Spain,Germany,France,Iran,United Kingdom,Switzerland,Netherlands,Belgium,"Korea, South",Turkey,Austria,Canada,Portugal,Norway,Brazil,Israel,Australia,Sweden,Czechia,Ireland,Denmark,Malaysia,Chile,Luxembourg,Ecuador,Japan,Poland,Romania,Pakistan,Russia,Philippines,Thailand,Saudi Arabia,Indonesia,South Africa,Finland,Greece,India,Iceland,Panama,Dominican Republic,Peru,Mexico,Singapore,Argentina,Serbia,Slovenia
0,548,217.0,155.0,165.0,159.0,191.0,245.0,164.0,214.0,188.0,169.0,204.0,192.0,182.0,193.0,169.0,176.0,151.0,155.0,200.0,161.0,189.0,169.0,264.0,197.0,155.0,203.0,199.0,159.0,177.0,158.0,236.0,199.0,187.0,177.0,171.0,172.0,202.0,155.0,190.0,156.0,156.0,200.0,202.0,234.0,164.0,160.0,158.0,171.0,181.0
1,643,262.0,229.0,222.0,196.0,204.0,388.0,207.0,268.0,265.0,200.0,433.0,359.0,246.0,198.0,245.0,205.0,151.0,213.0,250.0,203.0,253.0,223.0,444.0,238.0,201.0,335.0,367.0,170.0,238.0,184.0,299.0,253.0,202.0,212.0,171.0,227.0,240.0,225.0,228.0,194.0,171.0,313.0,245.0,234.0,203.0,178.0,266.0,222.0,219.0
2,920,402.0,322.0,259.0,262.0,288.0,593.0,274.0,337.0,321.0,239.0,602.0,670.0,302.0,252.0,331.0,400.0,162.0,218.0,297.0,248.0,298.0,292.0,617.0,428.0,238.0,484.0,506.0,189.0,251.0,260.0,454.0,306.0,217.0,272.0,274.0,311.0,274.0,244.0,331.0,244.0,180.0,345.0,312.0,318.0,251.0,178.0,301.0,249.0,253.0
3,1406,518.0,453.0,400.0,482.0,380.0,978.0,322.0,374.0,382.0,267.0,833.0,1236.0,504.0,415.0,448.0,598.0,200.0,250.0,377.0,355.0,396.0,557.0,804.0,566.0,238.0,670.0,789.0,214.0,355.0,277.0,501.0,367.0,230.0,322.0,344.0,369.0,402.0,277.0,331.0,330.0,220.0,345.0,392.0,363.0,316.0,200.0,387.0,303.0,275.0
4,2075,583.0,655.0,500.0,670.0,656.0,1501.0,384.0,491.0,503.0,314.0,977.0,1529.0,655.0,478.0,448.0,702.0,321.0,304.0,452.0,500.0,464.0,683.0,836.0,673.0,434.0,798.0,981.0,228.0,425.0,308.0,730.0,438.0,307.0,411.0,392.0,450.0,554.0,321.0,387.0,396.0,250.0,443.0,488.0,395.0,367.0,212.0,387.0,384.0,275.0
5,2877,959.0,888.0,673.0,799.0,959.0,2336.0,459.0,652.0,503.0,314.0,1261.0,1872.0,860.0,657.0,785.0,996.0,372.0,427.0,568.0,599.0,694.0,785.0,875.0,790.0,537.0,875.0,1082.0,241.0,536.0,367.0,776.0,495.0,380.0,599.0,511.0,514.0,709.0,336.0,418.0,499.0,330.0,558.0,581.0,416.0,405.0,226.0,502.0,384.0,286.0
6,5509,1281.0,1128.0,1073.0,1040.0,1136.0,2922.0,459.0,652.0,806.0,559.0,1766.0,2433.0,1018.0,800.0,1020.0,1090.0,621.0,529.0,681.0,814.0,833.0,906.0,933.0,900.0,632.0,1099.0,1173.0,256.0,634.0,433.0,875.0,658.0,462.0,721.0,562.0,579.0,927.0,400.0,418.0,536.0,409.0,674.0,719.0,480.0,475.0,243.0,589.0,457.0,341.0
7,6087,1663.0,1694.0,1695.0,1176.0,1219.0,3513.0,802.0,1139.0,962.0,689.0,2337.0,3629.0,1332.0,943.0,1280.0,1221.0,793.0,712.0,791.0,961.0,995.0,1125.0,1025.0,1030.0,746.0,1333.0,1403.0,274.0,749.0,576.0,972.0,840.0,552.0,827.0,767.0,686.0,1170.0,450.0,495.0,657.0,473.0,786.0,859.0,580.0,585.0,266.0,690.0,659.0,383.0
8,8141,2179.0,2036.0,2277.0,1457.0,1794.0,4747.0,1144.0,1359.0,1138.0,886.0,3150.0,5698.0,1646.0,1277.0,1600.0,1333.0,1021.0,883.0,1071.0,1022.0,1120.0,1329.0,1116.0,1183.0,922.0,1453.0,1595.0,293.0,901.0,794.0,1063.0,1036.0,636.0,934.0,900.0,790.0,1187.0,523.0,530.0,727.0,568.0,901.0,,635.0,717.0,313.0,745.0,741.0,414.0
9,9802,2727.0,2502.0,2277.0,1908.0,2293.0,5823.0,1145.0,2200.0,1416.0,1058.0,3736.0,7402.0,2013.0,1469.0,2060.0,1463.0,1546.0,1071.0,1549.0,1103.0,1236.0,1564.0,1225.0,1306.0,1142.0,1605.0,1823.0,331.0,1051.0,906.0,1201.0,1264.0,707.0,1045.0,1012.0,893.0,1280.0,626.0,624.0,887.0,588.0,,,671.0,848.0,345.0,,,442.0
